Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
226		0.0193		0.4584		0.9839		0.8417		0.00029194
227		0.0186		0.6492		0.9844		0.8192		0.00029099
228		0.0173		0.4050		0.9855		0.8639		0.00029003
229		0.0173		0.2942		0.9854		0.8832		0.00028907
230		0.0181		0.7258		0.9846		0.7962		0.00028812
231		0.0169		0.5150		0.9855		0.8416		0.00028716
232		0.0174		0.4821		0.9853		0.8509		0.00028620
233		0.0162		0.5700		0.9863		0.8317		0.00028525
234		0.0162		0.4119		0.9861		0.8653		0.00028429
235		0.0168		0.4316		0.9859		0.8603		0.00028333
236		0.0166		0.3484		0.9860		0.8732		0.00028237
237		0.0182		0.4892		0.9848		0.8276		0.00028141
238		0.0182		0.4670		0.9848		0.8559		0.00028045
239		0.0166		0.5633		0.9857		0.8322		0.00027949
240		0.0165		0.4889		0.9860		0.8516		0.00027853
241		0.0182		0.4721		0.9847		0.8509		0.00027757
242		0.0174		0.4258		0.9855		0.8557		0.00027661
243		0.0287		0.5322		0.9782		0.8229		0.00027565
244		0.0257		0.4202		0.9794		0.8419		0.00027469
245		0.0191		0.3934		0.9836		0.8578		0.00027372
246		0.0192		0.5075		0.9839		0.8314		0.00027276
247		0.0180		0.4633		0.9848		0.8333		0.00027180
248		0.0176		0.4945		0.9850		0.8305		0.00027084
249		0.0164		0.3577		0.9862		0.8670		0.00026987
250		0.0162		0.3839		0.9861		0.8668		0.00026891
251		0.0166		0.3016		0.9860		0.8867		0.00026794
252		0.0193		0.5310		0.9846		0.8297		0.00026698
253		0.0164		0.4610		0.9861		0.8418		0.00026601
254		0.0160		0.4128		0.9864		0.8605		0.00026505
255		0.0162		0.4686		0.9864		0.8500		0.00026408
256		0.0166		0.2863		0.9861		0.8932		0.00026312
257		0.0167		0.3587		0.9858		0.8744		0.00026215
258		0.0158		0.3741		0.9865		0.8726		0.00026118
259		0.0159		0.4371		0.9865		0.8646		0.00026021
260		0.0151		0.3467		0.9871		0.8798		0.00025925
261		0.0150		0.3976		0.9872		0.8756		0.00025828
262		0.0157		0.4570		0.9867		0.8603		0.00025731
263		0.0157		0.4237		0.9867		0.8684		0.00025634
264		0.0157		0.4254		0.9866		0.8672		0.00025537
265		0.0158		0.4663		0.9863		0.8534		0.00025440
266		0.0152		0.5235		0.9868		0.8509		0.00025343
267		0.0150		0.4602		0.9876		0.8631		0.00025246
268		0.0150		0.4297		0.9872		0.8703		0.00025149
269		0.0154		0.4639		0.9869		0.8594		0.00025052
270		0.0247		0.2779		0.9804		0.8579		0.00024954
271		0.0409		0.4643		0.9673		0.8283		0.00024857
272		0.0327		0.4550		0.9742		0.8136		0.00024760
273		0.0326		0.4755		0.9739		0.8301		0.00024663
274		0.0303		0.3363		0.9768		0.8816		0.00024565
275		0.0277		0.2589		0.9790		0.8823		0.00024468
276		0.0199		0.3420		0.9836		0.8583		0.00024370
277		0.0191		0.3369		0.9842		0.8654		0.00024273
278		0.0173		0.3162		0.9855		0.8749		0.00024175
279		0.0177		0.3573		0.9853		0.8633		0.00024078
280		0.0169		0.3608		0.9858		0.8667		0.00023980
281		0.0175		0.3808		0.9851		0.8661		0.00023882
282		0.0165		0.4007		0.9860		0.8629		0.00023785
283		0.0157		0.3424		0.9867		0.8788		0.00023687
284		0.0162		0.4980		0.9863		0.8470		0.00023589
285		0.0158		0.3208		0.9867		0.8786		0.00023491
286		0.0163		0.4264		0.9863		0.8612		0.00023393
287		0.0164		0.3639		0.9862		0.8679		0.00023295
288		0.0155		0.3636		0.9867		0.8693		0.00023197
289		0.0157		0.4137		0.9866		0.8641		0.00023099
290		0.0151		0.4609		0.9871		0.8552		0.00023001
291		0.0155		0.4543		0.9868		0.8581		0.00022903
292		0.0159		0.4099		0.9866		0.8646		0.00022805
293		0.0158		0.3188		0.9864		0.8824		0.00022707
294		0.0169		0.2378		0.9860		0.9030		0.00022608
295		0.0175		0.3148		0.9852		0.8909		0.00022510
296		0.0156		0.3073		0.9867		0.8920		0.00022412
297		0.0157		0.3314		0.9866		0.8894		0.00022313
298		0.0159		0.3046		0.9863		0.8917		0.00022215
299		0.0154		0.2899		0.9869		0.8941		0.00022116
300		0.0149		0.2865		0.9872		0.8973		0.00022018
301		0.0242		0.4264		0.9806		0.8651		0.00021919
302		0.0330		0.4123		0.9748		0.8259		0.00021821
303		0.0260		0.2875		0.9791		0.8901		0.00021722
304		0.0212		0.3135		0.9821		0.8821		0.00021623
305		0.0200		0.3148		0.9835		0.8892		0.00021524
306		0.0178		0.2763		0.9849		0.8888		0.00021425
307		0.0166		0.3164		0.9859		0.8848		0.00021326
308		0.0174		0.3226		0.9853		0.8748		0.00021227
309		0.0166		0.3259		0.9858		0.8842		0.00021128
310		0.0158		0.3215		0.9865		0.8819		0.00021029
311		0.0152		0.3222		0.9872		0.8830		0.00020930
312		0.0147		0.3513		0.9874		0.8803		0.00020831
313		0.0149		0.3248		0.9872		0.8843		0.00020732
314		0.0150		0.3618		0.9873		0.8738		0.00020633
315		0.0145		0.3555		0.9876		0.8791		0.00020533
316		0.0146		0.3534		0.9875		0.8794		0.00020434
317		0.0145		0.3469		0.9877		0.8824		0.00020334
318		0.0148		0.3555		0.9875		0.8817		0.00020235
319		0.0150		0.3786		0.9871		0.8793		0.00020135
320		0.0147		0.3737		0.9873		0.8774		0.00020036
321		0.0145		0.3676		0.9875		0.8790		0.00019936
322		0.0145		0.3331		0.9878		0.8843		0.00019836
323		0.0144		0.3731		0.9876		0.8774		0.00019737
324		0.0145		0.4500		0.9876		0.8615		0.00019637
325		0.0144		0.4274		0.9876		0.8664		0.00019537
326		0.0140		0.4095		0.9881		0.8721		0.00019437
327		0.0143		0.3755		0.9877		0.8763		0.00019337
328		0.0140		0.3663		0.9879		0.8793		0.00019237
329		0.0145		0.3394		0.9876		0.8862		0.00019137
330		0.0144		0.4225		0.9876		0.8631		0.00019037
331		0.0143		0.4890		0.9877		0.8538		0.00018937
332		0.0145		0.4084		0.9877		0.8656		0.00018836
333		0.0147		0.4642		0.9874		0.8581		0.00018736
334		0.0142		0.4338		0.9878		0.8640		0.00018636
335		0.0138		0.3973		0.9881		0.8687		0.00018535
336		0.0137		0.4265		0.9882		0.8652		0.00018435
337		0.0136		0.4217		0.9883		0.8649		0.00018334
338		0.0139		0.3822		0.9881		0.8755		0.00018233
339		0.0137		0.3495		0.9882		0.8840		0.00018133
340		0.0134		0.3985		0.9884		0.8718		0.00018032
341		0.0135		0.3251		0.9883		0.8870		0.00017931
342		0.0137		0.3978		0.9883		0.8714		0.00017830
343		0.0144		0.4240		0.9876		0.8574		0.00017729
344		0.0151		0.4020		0.9874		0.8598		0.00017628
345		0.0145		0.4072		0.9876		0.8639		0.00017527
346		0.0137		0.3671		0.9883		0.8726		0.00017426
347		0.0133		0.3966		0.9885		0.8692		0.00017325
348		0.0135		0.4038		0.9884		0.8661		0.00017223
349		0.0137		0.4431		0.9882		0.8616		0.00017122
350		0.0135		0.4128		0.9884		0.8686		0.00017021
351		0.0133		0.4475		0.9885		0.8593		0.00016919
352		0.0139		0.4473		0.9880		0.8579		0.00016818
353		0.0134		0.4657		0.9884		0.8581		0.00016716
354		0.0133		0.4212		0.9885		0.8669		0.00016614
355		0.0133		0.4892		0.9885		0.8515		0.00016513
356		0.0134		0.5026		0.9884		0.8523		0.00016411
357		0.0129		0.4795		0.9889		0.8576		0.00016309
358		0.0135		0.4693		0.9884		0.8566		0.00016207
359		0.0135		0.4098		0.9884		0.8770		0.00016105
360		0.0133		0.4725		0.9885		0.8595		0.00016003
361		0.0135		0.4772		0.9884		0.8598		0.00015901
362		0.0137		0.4394		0.9881		0.8612		0.00015798
363		0.0135		0.6283		0.9885		0.8333		0.00015696
364		0.0139		0.5743		0.9880		0.8401		0.00015594
365		0.0135		0.6052		0.9884		0.8276		0.00015491
366		0.0140		0.3673		0.9880		0.8720		0.00015389
367		0.0135		0.4448		0.9885		0.8622		0.00015286
368		0.0133		0.3058		0.9885		0.8978		0.00015183
369		0.0134		0.4778		0.9884		0.8503		0.00015080
370		0.0141		0.6180		0.9879		0.8306		0.00014978
371		0.0146		0.4331		0.9876		0.8583		0.00014875
372		0.0155		0.4611		0.9869		0.8583		0.00014772
373		0.0157		0.3778		0.9864		0.8757		0.00014669
374		0.0168		0.3541		0.9862		0.8769		0.00014565
375		0.0209		0.4182		0.9826		0.8567		0.00014462
376		0.0159		0.3260		0.9866		0.8825		0.00014359
377		0.0154		0.3541		0.9868		0.8769		0.00014255
378		0.0146		0.3426		0.9876		0.8804		0.00014152
379		0.0139		0.4029		0.9882		0.8636		0.00014048
380		0.0146		0.4034		0.9875		0.8694		0.00013945
381		0.0182		0.3883		0.9849		0.8748		0.00013841
382		0.0165		0.3583		0.9858		0.8739		0.00013737
383		0.0146		0.3725		0.9875		0.8709		0.00013633
384		0.0137		0.3555		0.9883		0.8830		0.00013529
385		0.0135		0.3462		0.9885		0.8826		0.00013425
386		0.0137		0.3572		0.9882		0.8823		0.00013321
387		0.0135		0.3606		0.9883		0.8809		0.00013216
388		0.0134		0.3638		0.9884		0.8757		0.00013112
389		0.0131		0.3815		0.9888		0.8718		0.00013007
390		0.0132		0.3477		0.9884		0.8818		0.00012903
391		0.0147		0.2766		0.9880		0.8951		0.00012798
392		0.0146		0.4350		0.9875		0.8510		0.00012693
393		0.0137		0.5706		0.9883		0.8137		0.00012589
394		0.0139		0.3658		0.9882		0.8803		0.00012484
395		0.0134		0.3655		0.9884		0.8784		0.00012379
396		0.0132		0.3073		0.9886		0.8944		0.00012273
397		0.0130		0.3445		0.9888		0.8825		0.00012168
398		0.0125		0.3346		0.9892		0.8863		0.00012063
