Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
376		0.0144		0.4333		0.9872		0.8465		0.00032754
377		0.0137		0.3805		0.9874		0.8594		0.00032707
378		0.0134		0.4178		0.9879		0.8503		0.00032659
379		0.0139		0.4284		0.9875		0.8531		0.00032612
380		0.0134		0.4016		0.9881		0.8612		0.00032565
381		0.0133		0.3391		0.9880		0.8768		0.00032518
382		0.0135		0.3924		0.9878		0.8644		0.00032471
383		0.0130		0.4026		0.9882		0.8558		0.00032423
384		0.0132		0.3953		0.9881		0.8569		0.00032376
385		0.0142		0.4127		0.9873		0.8582		0.00032329
386		0.0139		0.3844		0.9877		0.8713		0.00032282
387		0.0136		0.3510		0.9878		0.8696		0.00032235
388		0.0132		0.4055		0.9881		0.8603		0.00032187
389		0.0125		0.3765		0.9888		0.8713		0.00032140
390		0.0132		0.3767		0.9881		0.8760		0.00032093
391		0.0267		0.5523		0.9788		0.8252		0.00032045
392		0.0438		0.3252		0.9639		0.8499		0.00031998
393		0.0309		0.2939		0.9732		0.8837		0.00031951
394		0.0196		0.4514		0.9825		0.8479		0.00031904
395		0.0160		0.3377		0.9855		0.8824		0.00031856
396		0.0164		0.3448		0.9857		0.8815		0.00031809
397		0.0171		0.3842		0.9846		0.8554		0.00031762
398		0.0159		0.2800		0.9858		0.8877		0.00031714
399		0.0149		0.3443		0.9863		0.8710		0.00031667
400		0.0143		0.3602		0.9871		0.8764		0.00031620
401		0.0137		0.3590		0.9877		0.8734		0.00031572
402		0.0132		0.3714		0.9881		0.8783		0.00031525
403		0.0134		0.3246		0.9878		0.8830		0.00031478
404		0.0132		0.3040		0.9881		0.8861		0.00031430
405		0.0130		0.3872		0.9883		0.8743		0.00031383
406		0.0133		0.3404		0.9881		0.8787		0.00031335
407		0.0133		0.3407		0.9878		0.8843		0.00031288
408		0.0136		0.3369		0.9879		0.8769		0.00031241
409		0.0135		0.3605		0.9878		0.8708		0.00031193
410		0.0133		0.3209		0.9881		0.8828		0.00031146
411		0.0130		0.3563		0.9882		0.8756		0.00031098
412		0.0137		0.3514		0.9879		0.8755		0.00031051
413		0.0130		0.4301		0.9881		0.8555		0.00031003
414		0.0151		0.4743		0.9869		0.8409		0.00030956
415		0.0156		0.3558		0.9864		0.8801		0.00030908
416		0.0134		0.4171		0.9881		0.8491		0.00030861
417		0.0131		0.4269		0.9879		0.8541		0.00030814
418		0.0129		0.3510		0.9885		0.8772		0.00030766
419		0.0130		0.3497		0.9883		0.8736		0.00030719
420		0.0128		0.4439		0.9883		0.8572		0.00030671
421		0.0124		0.3667		0.9889		0.8780		0.00030624
422		0.0122		0.3716		0.9889		0.8742		0.00030576
423		0.0162		0.2917		0.9856		0.8878		0.00030528
424		0.0180		0.2767		0.9853		0.8817		0.00030481
425		0.0196		0.3453		0.9829		0.8592		0.00030433
426		0.0164		0.3519		0.9853		0.8807		0.00030386
427		0.0148		0.3703		0.9868		0.8705		0.00030338
428		0.0142		0.3470		0.9873		0.8537		0.00030291
429		0.0138		0.3359		0.9875		0.8769		0.00030243
430		0.0140		0.4133		0.9877		0.8676		0.00030196
431		0.0132		0.3665		0.9881		0.8712		0.00030148
432		0.0124		0.3833		0.9888		0.8779		0.00030100
433		0.0117		0.6661		0.9892		0.7949		0.00030053
434		0.0122		0.3449		0.9890		0.8771		0.00030005
435		0.0127		0.3622		0.9886		0.8770		0.00029957
436		0.0122		0.3568		0.9889		0.8824		0.00029910
437		0.0139		0.3633		0.9876		0.8702		0.00029862
438		0.0141		0.3738		0.9874		0.8697		0.00029815
439		0.0122		0.4167		0.9890		0.8704		0.00029767
440		0.0125		0.3721		0.9886		0.8711		0.00029719
441		0.0126		0.4335		0.9886		0.8554		0.00029671
442		0.0125		0.3693		0.9885		0.8799		0.00029624
443		0.0134		0.4147		0.9879		0.8685		0.00029576
444		0.0136		0.3832		0.9878		0.8622		0.00029528
445		0.0157		0.5891		0.9861		0.8028		0.00029481
446		0.0158		0.4159		0.9858		0.8635		0.00029433
447		0.0151		1.0965		0.9863		0.7018		0.00029385
448		0.0559		0.8968		0.9547		0.7388		0.00029337
449		0.0716		0.4671		0.9409		0.8304		0.00029290
450		0.0465		0.3721		0.9613		0.8671		0.00029242
451		0.0261		0.3291		0.9777		0.8651		0.00029194
452		0.0217		0.3977		0.9802		0.8568		0.00029146
453		0.0189		0.4540		0.9833		0.8330		0.00029099
454		0.0169		0.3531		0.9847		0.8654		0.00029051
455		0.0159		0.3889		0.9858		0.8565		0.00029003
456		0.0152		0.3977		0.9863		0.8481		0.00028955
457		0.0145		0.4426		0.9870		0.8452		0.00028907
458		0.0148		0.3777		0.9866		0.8604		0.00028860
459		0.0141		0.3389		0.9874		0.8697		0.00028812
460		0.0136		0.3385		0.9878		0.8777		0.00028764
461		0.0138		0.3466		0.9876		0.8724		0.00028716
462		0.0141		0.4040		0.9871		0.8511		0.00028668
463		0.0141		0.4343		0.9875		0.8466		0.00028620
