Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
230		0.0205		0.3283		0.9833		0.8714		0.00028812
231		0.0268		0.3885		0.9779		0.8435		0.00028716
232		0.0231		0.4683		0.9809		0.8308		0.00028620
233		0.0231		0.3835		0.9809		0.8383		0.00028525
234		0.0194		0.3272		0.9843		0.8683		0.00028429
235		0.0179		0.4189		0.9850		0.8425		0.00028333
236		0.0178		0.3202		0.9857		0.8716		0.00028237
237		0.0192		0.4192		0.9840		0.8498		0.00028141
238		0.0176		0.3237		0.9857		0.8740		0.00028045
239		0.0184		0.5169		0.9844		0.8061		0.00027949
240		0.0195		0.3766		0.9839		0.8565		0.00027853
241		0.0175		0.3542		0.9853		0.8585		0.00027757
242		0.0168		0.3735		0.9859		0.8577		0.00027661
243		0.0170		0.4090		0.9859		0.8519		0.00027565
244		0.0159		0.3729		0.9866		0.8654		0.00027469
245		0.0161		0.3922		0.9864		0.8619		0.00027372
246		0.0162		0.3881		0.9864		0.8612		0.00027276
247		0.0160		0.3786		0.9865		0.8638		0.00027180
248		0.0188		0.4266		0.9846		0.8484		0.00027084
249		0.0192		0.3294		0.9842		0.8697		0.00026987
250		0.0194		0.3740		0.9837		0.8574		0.00026891
251		0.0174		0.3300		0.9857		0.8771		0.00026794
252		0.0158		0.3714		0.9868		0.8665		0.00026698
253		0.0164		0.3700		0.9862		0.8608		0.00026601
254		0.0157		0.3397		0.9868		0.8712		0.00026505
255		0.0162		0.4701		0.9863		0.8310		0.00026408
256		0.0173		0.5559		0.9857		0.8193		0.00026312
257		0.0206		0.3844		0.9834		0.8528		0.00026215
258		0.0198		0.3368		0.9837		0.8554		0.00026118
259		0.0199		0.6126		0.9841		0.7758		0.00026021
260		0.0303		0.2590		0.9768		0.8860		0.00025925
261		0.0466		0.3313		0.9634		0.8826		0.00025828
262		0.0288		0.4047		0.9771		0.8439		0.00025731
263		0.0211		0.4041		0.9827		0.8520		0.00025634
264		0.0232		0.3818		0.9812		0.8469		0.00025537
265		0.0219		0.4305		0.9819		0.8173		0.00025440
266		0.0201		0.3334		0.9834		0.8711		0.00025343
267		0.0198		0.5030		0.9836		0.8189		0.00025246
268		0.0174		0.3338		0.9853		0.8670		0.00025149
269		0.0170		0.3617		0.9861		0.8677		0.00025052
270		0.0171		0.3685		0.9857		0.8654		0.00024954
271		0.0158		0.4467		0.9869		0.8476		0.00024857
272		0.0162		0.4166		0.9863		0.8534		0.00024760
273		0.0151		0.3442		0.9873		0.8719		0.00024663
274		0.0157		0.3911		0.9867		0.8615		0.00024565
275		0.0157		0.3218		0.9869		0.8789		0.00024468
276		0.0156		0.3747		0.9869		0.8670		0.00024370
277		0.0156		0.3281		0.9870		0.8840		0.00024273
278		0.0156		0.4366		0.9871		0.8466		0.00024175
279		0.0149		0.4593		0.9873		0.8464		0.00024078
280		0.0150		0.4247		0.9874		0.8553		0.00023980
281		0.0148		0.4369		0.9876		0.8465		0.00023882
282		0.0143		0.4197		0.9881		0.8540		0.00023785
283		0.0154		0.4906		0.9871		0.8301		0.00023687
284		0.0154		0.4192		0.9871		0.8622		0.00023589
