Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
190		0.0235		0.3538		0.9805		0.8629		0.00014048
191		0.0234		0.3409		0.9804		0.8644		0.00013841
192		0.0229		0.3659		0.9810		0.8579		0.00013633
193		0.0228		0.3460		0.9811		0.8678		0.00013425
194		0.0237		0.3498		0.9807		0.8675		0.00013216
195		0.0241		0.3157		0.9801		0.8731		0.00013007
196		0.0236		0.3268		0.9809		0.8656		0.00012798
197		0.0228		0.4102		0.9810		0.8512		0.00012589
198		0.0229		0.3633		0.9809		0.8629		0.00012379
199		0.0224		0.3539		0.9814		0.8634		0.00012168
200		0.0220		0.3633		0.9816		0.8654		0.00011957
201		0.0228		0.3296		0.9811		0.8718		0.00011746
202		0.0228		0.3218		0.9811		0.8735		0.00011535
203		0.0226		0.3169		0.9813		0.8755		0.00011322
204		0.0222		0.3465		0.9815		0.8706		0.00011110
205		0.0227		0.3261		0.9811		0.8714		0.00010897
206		0.0214		0.3332		0.9824		0.8707		0.00010684
207		0.0205		0.3606		0.9827		0.8702		0.00010470
208		0.0213		0.3589		0.9822		0.8677		0.00010255
209		0.0212		0.3414		0.9823		0.8700		0.00010040
210		0.0214		0.3327		0.9822		0.8766		0.00009825
211		0.0247		0.2867		0.9799		0.8860		0.00009609
212		0.0238		0.3365		0.9803		0.8722		0.00009393
213		0.0217		0.2980		0.9821		0.8815		0.00009175
214		0.0233		0.3430		0.9807		0.8733		0.00008958
215		0.0239		0.3327		0.9803		0.8702		0.00008740
216		0.0239		0.4037		0.9801		0.8509		0.00008521
217		0.0215		0.3375		0.9820		0.8720		0.00008301
218		0.0210		0.3279		0.9826		0.8758		0.00008081
219		0.0209		0.3442		0.9828		0.8743		0.00007861
220		0.0205		0.3565		0.9829		0.8723		0.00007639
221		0.0208		0.3356		0.9826		0.8692		0.00007417
222		0.0199		0.3594		0.9834		0.8634		0.00007194
223		0.0209		0.3462		0.9827		0.8696		0.00006971
224		0.0213		0.3735		0.9822		0.8625		0.00006746
225		0.0204		0.3768		0.9831		0.8652		0.00006521
226		0.0205		0.3519		0.9826		0.8704		0.00006295
227		0.0206		0.3547		0.9830		0.8750		0.00006068
228		0.0200		0.3492		0.9833		0.8760		0.00005840
229		0.0201		0.3456		0.9832		0.8767		0.00005611
230		0.0200		0.3291		0.9833		0.8782		0.00005380
231		0.0204		0.3344		0.9829		0.8760		0.00005149
