Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
428		0.0112		0.4006		0.9905		0.8644		0.00008849
429		0.0108		0.3853		0.9908		0.8697		0.00008740
430		0.0114		0.3824		0.9904		0.8724		0.00008630
431		0.0111		0.4030		0.9905		0.8648		0.00008521
432		0.0117		0.3959		0.9903		0.8592		0.00008411
433		0.0112		0.3785		0.9906		0.8659		0.00008301
434		0.0110		0.4039		0.9908		0.8606		0.00008192
435		0.0107		0.3736		0.9909		0.8725		0.00008081
436		0.0109		0.4371		0.9909		0.8574		0.00007971
437		0.0112		0.3917		0.9905		0.8648		0.00007861
438		0.0110		0.3779		0.9906		0.8693		0.00007750
439		0.0104		0.3852		0.9912		0.8682		0.00007639
440		0.0109		0.4183		0.9908		0.8621		0.00007528
441		0.0106		0.4004		0.9911		0.8662		0.00007417
442		0.0112		0.3333		0.9905		0.8827		0.00007306
443		0.0110		0.3897		0.9908		0.8684		0.00007194
444		0.0115		0.4314		0.9903		0.8579		0.00007082
445		0.0110		0.3407		0.9908		0.8828		0.00006971
446		0.0106		0.3863		0.9910		0.8722		0.00006858
447		0.0109		0.3960		0.9909		0.8696		0.00006746
448		0.0106		0.4250		0.9910		0.8658		0.00006634
449		0.0106		0.3846		0.9911		0.8721		0.00006521
450		0.0104		0.3820		0.9911		0.8713		0.00006408
451		0.0105		0.3704		0.9910		0.8758		0.00006295
452		0.0105		0.3955		0.9911		0.8703		0.00006181
453		0.0103		0.3678		0.9912		0.8726		0.00006068
454		0.0106		0.3916		0.9910		0.8701		0.00005954
455		0.0104		0.3911		0.9912		0.8716		0.00005840
456		0.0107		0.3840		0.9909		0.8726		0.00005725
457		0.0104		0.4048		0.9911		0.8710		0.00005611
458		0.0101		0.3925		0.9914		0.8703		0.00005496
459		0.0102		0.4057		0.9914		0.8694		0.00005380
460		0.0107		0.3818		0.9910		0.8723		0.00005265
461		0.0101		0.4000		0.9913		0.8695		0.00005149
462		0.0105		0.3919		0.9911		0.8713		0.00005033
463		0.0103		0.3639		0.9912		0.8766		0.00004917
464		0.0105		0.3835		0.9912		0.8726		0.00004800
465		0.0106		0.3898		0.9909		0.8703		0.00004683
466		0.0105		0.4013		0.9911		0.8694		0.00004566
467		0.0102		0.3965		0.9913		0.8713		0.00004449
468		0.0103		0.3775		0.9913		0.8746		0.00004331
469		0.0105		0.3980		0.9910		0.8682		0.00004212
470		0.0104		0.4168		0.9911		0.8632		0.00004094
471		0.0105		0.4026		0.9911		0.8651		0.00003975
472		0.0103		0.3934		0.9913		0.8698		0.00003855
473		0.0101		0.4278		0.9914		0.8624		0.00003735
474		0.0104		0.4412		0.9911		0.8573		0.00003615
475		0.0106		0.4245		0.9909		0.8629		0.00003494
476		0.0101		0.3845		0.9914		0.8721		0.00003373
477		0.0098		0.4142		0.9916		0.8652		0.00003252
478		0.0103		0.3998		0.9912		0.8683		0.00003129
479		0.0100		0.4267		0.9916		0.8636		0.00003007
480		0.0100		0.4190		0.9915		0.8647		0.00002883
481		0.0098		0.4392		0.9916		0.8598		0.00002759
482		0.0101		0.4030		0.9914		0.8693		0.00002635
483		0.0099		0.4024		0.9916		0.8685		0.00002510
484		0.0100		0.4057		0.9916		0.8702		0.00002384
485		0.0101		0.3945		0.9913		0.8707		0.00002257
486		0.0098		0.4145		0.9916		0.8674		0.00002130
487		0.0098		0.3894		0.9917		0.8711		0.00002002
488		0.0101		0.4250		0.9914		0.8678		0.00001873
489		0.0097		0.4066		0.9917		0.8697		0.00001742
490		0.0099		0.3904		0.9916		0.8728		0.00001611
491		0.0099		0.3778		0.9917		0.8742		0.00001479
492		0.0099		0.3741		0.9916		0.8749		0.00001345
493		0.0097		0.4076		0.9918		0.8684		0.00001210
494		0.0100		0.3791		0.9916		0.8753		0.00001073
